id,name,category,price,supplier
1,Training Beauty,Electronics,17.38,Target
2,Place Clothing,Clothing,74.07,Amazon
3,Run Beauty,Beauty,446.63,Amazon
4,Couple Sports,Books,20.73,Amazon
5,Accept Clothing,Clothing,255.15,Amazon
6,One Sports,Clothing,359.43,Nike
7,Likely Sports,Books,114.12,IKEA
8,Such Home & Kitchen,Toys,435.3,Adidas
9,Former Toys,Clothing,350.58,Target
10,Can Home & Kitchen,Clothing,111.58,Adidas
11,Among Home & Kitchen,Electronics,50.91,Amazon
12,Career Home & Kitchen,Toys,175.26,Target
13,Paper Toys,Electronics,366.22,IKEA
14,Design Electronics,Books,44.01,Target
15,Read Toys,Beauty,311.17,Adidas
16,Color Home & Kitchen,Sports,100.18,Amazon
17,Begin Electronics,Beauty,117.81,Target
18,Or Electronics,Toys,120.23,Amazon
19,Establish Books,Home & Kitchen,229.44,Adidas
20,Today Home & Kitchen,Clothing,188.24,BestBuy
21,Some Beauty,Home & Kitchen,352.4,Nike
22,Already Beauty,Electronics,306.52,BestBuy
23,Become Sports,Beauty,126.18,Walmart
24,Capital Books,Home & Kitchen,494.81,Nike
25,Move Beauty,Sports,113.71,Target
26,Fire Toys,Toys,389.12,BestBuy
27,Himself Toys,Electronics,403.5,Walmart
28,Off Home & Kitchen,Electronics,109.44,IKEA
29,Congress Beauty,Home & Kitchen,110.25,Walmart
30,Land Books,Beauty,232.13,Target
31,You Clothing,Clothing,373.77,IKEA
32,Really Home & Kitchen,Beauty,294.37,IKEA
33,A Books,Home & Kitchen,113.56,BestBuy
34,Energy Sports,Books,50.0,Amazon
35,First Toys,Electronics,80.66,BestBuy
36,Any Toys,Beauty,213.97,Amazon
37,Young Books,Books,299.96,Walmart
38,Young Sports,Home & Kitchen,485.68,Adidas
39,Natural Electronics,Beauty,361.76,Nike
40,West Sports,Toys,137.08,Nike
41,Stay Home & Kitchen,Electronics,150.28,BestBuy
42,Finally Books,Electronics,477.14,Nike
43,Reason Home & Kitchen,Sports,382.17,IKEA
44,None Electronics,Toys,314.52,Adidas
45,Light Beauty,Sports,306.44,BestBuy
46,Challenge Home & Kitchen,Toys,84.97,Adidas
47,Part Sports,Electronics,301.48,Walmart
48,Military Electronics,Electronics,464.9,Adidas
49,Run Toys,Home & Kitchen,123.53,BestBuy
50,Form Sports,Electronics,47.4,Walmart
51,Necessary Toys,Electronics,489.1,IKEA
52,Whether Toys,Clothing,68.55,Walmart
53,He Sports,Clothing,136.2,Adidas
54,Police Sports,Books,482.36,IKEA
55,Nothing Toys,Beauty,346.48,Nike
56,Mrs Home & Kitchen,Books,497.6,Nike
57,Determine Home & Kitchen,Books,450.31,Walmart
58,Rise Electronics,Clothing,116.23,Target
59,Bit Electronics,Sports,279.19,IKEA
60,Recognize Clothing,Electronics,40.14,Nike
61,Ten Electronics,Clothing,38.36,Amazon
62,Another Toys,Home & Kitchen,40.07,BestBuy
63,Economic Home & Kitchen,Beauty,245.28,IKEA
64,Although Clothing,Beauty,468.08,IKEA
65,Cup Sports,Books,125.28,Walmart
66,Change Toys,Books,99.25,Amazon
67,Firm Beauty,Books,180.38,Walmart
68,Total Books,Toys,365.89,Nike
69,There Beauty,Beauty,53.72,Walmart
70,Dinner Beauty,Home & Kitchen,401.29,Amazon
71,Center Clothing,Clothing,99.15,Walmart
72,Play Clothing,Books,95.83,Walmart
73,Old Clothing,Toys,462.02,Walmart
74,Direction Toys,Toys,428.7,Amazon
75,Perhaps Electronics,Beauty,499.64,Adidas
76,Her Electronics,Electronics,463.55,Adidas
77,Fall Clothing,Clothing,206.17,Walmart
78,Career Clothing,Toys,203.51,Amazon
79,Shoulder Clothing,Books,6.07,Walmart
80,Prevent Home & Kitchen,Toys,393.64,Target
81,Knowledge Books,Beauty,478.87,Adidas
82,Bad Sports,Beauty,360.61,BestBuy
83,Oil Clothing,Home & Kitchen,112.76,Amazon
84,Especially Sports,Beauty,273.39,Nike
85,Ever Home & Kitchen,Electronics,29.82,Walmart
86,I Sports,Toys,267.91,Amazon
87,Rate Sports,Electronics,426.41,Amazon
88,Well Sports,Electronics,339.23,BestBuy
89,Common Books,Electronics,471.09,IKEA
90,Instead Clothing,Sports,299.29,IKEA
91,Loss Electronics,Books,330.4,IKEA
92,Because Sports,Home & Kitchen,467.68,BestBuy
93,You Beauty,Beauty,160.52,Target
94,Environmental Books,Clothing,337.49,Target
95,Require Books,Home & Kitchen,464.86,Amazon
96,Large Electronics,Books,312.47,IKEA
97,Yard Electronics,Electronics,271.13,IKEA
98,Run Home & Kitchen,Clothing,466.96,Amazon
99,Character Clothing,Home & Kitchen,146.07,Walmart
100,North Toys,Sports,353.25,IKEA
101,Democrat Toys,Beauty,266.83,Nike
102,Avoid Toys,Sports,153.19,Nike
103,Professional Electronics,Clothing,135.91,Amazon
104,Significant Beauty,Sports,81.95,Target
105,Exist Sports,Clothing,360.22,BestBuy
106,Property Beauty,Beauty,427.19,IKEA
107,Same Books,Home & Kitchen,453.14,Adidas
108,Race Electronics,Electronics,318.97,Adidas
109,Data Home & Kitchen,Electronics,6.76,Adidas
110,Send Clothing,Beauty,490.0,BestBuy
