id,customer_id,product_id,quantity,timestamp,payment_method
1,240,274,2,2024-12-12T10:30:36.527448,Gift Card
2,926,428,2,2024-10-13T10:30:36.527460,Crypto
3,452,237,3,2023-08-20T10:30:36.527466,Gift Card
4,515,271,4,2023-02-08T10:30:36.527471,PayPal
5,837,103,5,2025-06-05T10:30:36.527475,Debit Card
6,54,329,4,2023-05-13T10:30:36.527480,Debit Card
7,568,479,1,2023-10-27T10:30:36.527484,Crypto
8,872,64,3,2025-07-31T10:30:36.527489,PayPal
9,280,231,5,2025-05-27T10:30:36.527493,Gift Card
10,94,485,2,2023-07-11T10:30:36.527497,Gift Card
11,906,179,1,2024-08-26T10:30:36.527502,Credit Card
12,406,258,3,2025-02-25T10:30:36.527506,Gift Card
13,84,192,2,2025-09-26T10:30:36.527510,Debit Card
14,954,51,3,2023-08-06T10:30:36.527515,PayPal
15,141,20,3,2023-03-30T10:30:36.527519,Gift Card
16,713,426,2,2023-09-08T10:30:36.527523,Gift Card
17,460,316,1,2023-04-11T10:30:36.527528,Credit Card
18,20,132,2,2023-06-22T10:30:36.527532,PayPal
19,562,482,5,2024-05-02T10:30:36.527536,Gift Card
20,114,398,3,2025-02-23T10:30:36.527541,Debit Card
21,125,25,2,2024-08-21T10:30:36.527546,Crypto
22,469,33,1,2023-06-21T10:30:36.527551,Gift Card
23,612,275,1,2024-01-16T10:30:36.527555,Crypto
24,589,124,2,2024-12-30T10:30:36.527559,Gift Card
25,2,315,3,2025-02-20T10:30:36.527563,Crypto
26,427,96,1,2024-05-06T10:30:36.527568,Debit Card
27,70,489,5,2024-04-15T10:30:36.527572,Crypto
28,806,260,5,2025-10-04T10:30:36.527576,Gift Card
29,895,241,1,2024-01-13T10:30:36.527581,Gift Card
30,383,130,1,2024-10-24T10:30:36.527585,Credit Card
31,354,124,1,2023-08-26T10:30:36.527589,Crypto
32,753,388,3,2025-06-10T10:30:36.527594,Credit Card
33,361,280,3,2023-07-14T10:30:36.527598,PayPal
34,851,399,4,2023-11-12T10:30:36.527602,Gift Card
35,647,94,2,2025-08-21T10:30:36.527606,Gift Card
36,38,151,2,2025-09-10T10:30:36.527611,PayPal
37,908,22,3,2023-03-14T10:30:36.527615,Debit Card
38,528,204,5,2024-06-27T10:30:36.527619,Debit Card
39,38,386,2,2025-01-05T10:30:36.527623,Debit Card
40,883,400,1,2023-05-22T10:30:36.527650,Debit Card
41,280,64,3,2024-08-03T10:30:36.527657,Gift Card
42,762,226,4,2024-11-11T10:30:36.527662,PayPal
43,509,355,4,2024-10-13T10:30:36.527666,Crypto
44,274,411,1,2023-10-11T10:30:36.527670,Gift Card
45,81,221,5,2023-07-05T10:30:36.527675,PayPal
46,559,151,3,2025-07-11T10:30:36.527679,Credit Card
47,336,339,3,2024-12-15T10:30:36.527684,Gift Card
48,618,368,4,2025-05-07T10:30:36.527691,Gift Card
49,360,229,1,2023-10-11T10:30:36.527695,Debit Card
50,630,223,3,2024-01-09T10:30:36.527699,Credit Card
51,77,344,4,2024-10-17T10:30:36.527704,Crypto
52,821,384,2,2023-02-22T10:30:36.527708,Credit Card
53,147,435,5,2023-11-30T10:30:36.527712,Gift Card
54,36,65,1,2025-02-25T10:30:36.527716,Debit Card
55,371,197,5,2025-09-21T10:30:36.527721,Crypto
56,158,348,4,2023-02-26T10:30:36.527725,Debit Card
57,381,228,1,2024-03-16T10:30:36.527729,PayPal
58,543,188,4,2024-12-07T10:30:36.527734,Debit Card
59,256,492,1,2025-09-28T10:30:36.527738,PayPal
60,512,266,4,2023-04-03T10:30:36.527743,Crypto
61,121,135,3,2023-11-04T10:30:36.527748,Gift Card
62,220,314,3,2023-11-14T10:30:36.527752,Gift Card
63,205,63,2,2023-06-04T10:30:36.527756,Credit Card
64,463,89,4,2025-07-27T10:30:36.527761,Debit Card
65,684,178,1,2024-04-09T10:30:36.527765,Crypto
66,298,457,3,2023-06-06T10:30:36.527770,PayPal
67,729,364,2,2023-08-04T10:30:36.527774,Debit Card
68,521,115,1,2025-04-02T10:30:36.527778,PayPal
69,243,405,4,2025-09-28T10:30:36.527783,Debit Card
